[ 2013-08-07T11:05:23+08:00 ] /2013-8/tpm/ | INFO: Tag[ action_begin ] --END-- [ RunTime:0.002303s ]
[ 2013-08-07T11:05:23+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_template ] --START--
[ 2013-08-07T11:05:23+08:00 ] /2013-8/tpm/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001366s ]
[ 2013-08-07T11:05:23+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002036s ]
[ 2013-08-07T11:05:23+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_parse ] --START--
[ 2013-08-07T11:05:23+08:00 ] /2013-8/tpm/ | INFO: Run ParseTemplate Behavior [ RunTime:0.018870s ]
[ 2013-08-07T11:05:23+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.019588s ]
[ 2013-08-07T11:05:23+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_filter ] --START--
[ 2013-08-07T11:05:23+08:00 ] /2013-8/tpm/ | INFO: Run ContentReplace Behavior [ RunTime:0.001431s ]
[ 2013-08-07T11:05:23+08:00 ] /2013-8/tpm/ | INFO: Run TokenBuild Behavior [ RunTime:0.001722s ]
[ 2013-08-07T11:05:23+08:00 ] /2013-8/tpm/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000927s ]
[ 2013-08-07T11:05:23+08:00 ] /2013-8/tpm/ | INFO: Run ShowRuntime Behavior [ RunTime:0.003407s ]
[ 2013-08-07T11:05:23+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.009404s ]
[ 2013-08-07T11:05:23+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_end ] --START--
[ 2013-08-07T11:05:23+08:00 ] /2013-8/tpm/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.002944s ]
[ 2013-08-07T11:05:23+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.003573s ]
[ 2013-08-07T11:05:23+08:00 ] /2013-8/tpm/Public/js/jquery-1.9.1.min.js | ERR: (ThinkException) 无法加载模块Public
[ 2013-08-07T11:05:23+08:00 ] /2013-8/tpm/Public/js/TPM.js | ERR: (ThinkException) 无法加载模块Public
[ 2013-08-07T11:05:36+08:00 ] /2013-8/tpm/ | INFO: Tag[ app_begin ] --START--
[ 2013-08-07T11:05:36+08:00 ] /2013-8/tpm/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001761s ]
[ 2013-08-07T11:05:36+08:00 ] /2013-8/tpm/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002529s ]
[ 2013-08-07T11:05:36+08:00 ] /2013-8/tpm/ | INFO: Tag[ action_begin ] --START--
[ 2013-08-07T11:05:36+08:00 ] /2013-8/tpm/ | INFO: Run SwitchMobileTpl Behavior [ RunTime:0.002680s ]
[ 2013-08-07T11:05:36+08:00 ] /2013-8/tpm/ | INFO: Tag[ action_begin ] --END-- [ RunTime:0.003443s ]
[ 2013-08-07T11:05:36+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_template ] --START--
[ 2013-08-07T11:05:36+08:00 ] /2013-8/tpm/ | INFO: Run LocationTemplate Behavior [ RunTime:0.003446s ]
[ 2013-08-07T11:05:36+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.004164s ]
[ 2013-08-07T11:05:36+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_parse ] --START--
[ 2013-08-07T11:05:36+08:00 ] /2013-8/tpm/ | INFO: Run ParseTemplate Behavior [ RunTime:0.024565s ]
[ 2013-08-07T11:05:36+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.025270s ]
[ 2013-08-07T11:05:36+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_filter ] --START--
[ 2013-08-07T11:05:36+08:00 ] /2013-8/tpm/ | INFO: Run ContentReplace Behavior [ RunTime:0.003985s ]
[ 2013-08-07T11:05:36+08:00 ] /2013-8/tpm/ | INFO: Run TokenBuild Behavior [ RunTime:0.003260s ]
[ 2013-08-07T11:05:36+08:00 ] /2013-8/tpm/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002229s ]
[ 2013-08-07T11:05:36+08:00 ] /2013-8/tpm/ | INFO: Run ShowRuntime Behavior [ RunTime:0.003759s ]
[ 2013-08-07T11:05:36+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.015193s ]
[ 2013-08-07T11:05:36+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_end ] --START--
[ 2013-08-07T11:05:36+08:00 ] /2013-8/tpm/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.002745s ]
[ 2013-08-07T11:05:36+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.003392s ]
[ 2013-08-07T11:05:36+08:00 ] /2013-8/tpm/Public/js/TPM.js | ERR: (ThinkException) 无法加载模块Public
[ 2013-08-07T11:05:36+08:00 ] /2013-8/tpm/Public/js/jquery-1.9.1.min.js | ERR: (ThinkException) 无法加载模块Public
[ 2013-08-07T11:05:44+08:00 ] /2013-8/tpm/ | INFO: Tag[ app_begin ] --START--
[ 2013-08-07T11:05:44+08:00 ] /2013-8/tpm/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001930s ]
[ 2013-08-07T11:05:44+08:00 ] /2013-8/tpm/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002785s ]
[ 2013-08-07T11:05:44+08:00 ] /2013-8/tpm/ | INFO: Tag[ action_begin ] --START--
[ 2013-08-07T11:05:44+08:00 ] /2013-8/tpm/ | INFO: Run SwitchMobileTpl Behavior [ RunTime:0.001707s ]
[ 2013-08-07T11:05:44+08:00 ] /2013-8/tpm/ | INFO: Tag[ action_begin ] --END-- [ RunTime:0.002378s ]
[ 2013-08-07T11:05:44+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_template ] --START--
[ 2013-08-07T11:05:44+08:00 ] /2013-8/tpm/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001983s ]
[ 2013-08-07T11:05:44+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002715s ]
[ 2013-08-07T11:05:44+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_parse ] --START--
[ 2013-08-07T11:05:44+08:00 ] /2013-8/tpm/ | INFO: Run ParseTemplate Behavior [ RunTime:0.019713s ]
[ 2013-08-07T11:05:44+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.020545s ]
[ 2013-08-07T11:05:44+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_filter ] --START--
[ 2013-08-07T11:05:44+08:00 ] /2013-8/tpm/ | INFO: Run ContentReplace Behavior [ RunTime:0.002942s ]
[ 2013-08-07T11:05:44+08:00 ] /2013-8/tpm/ | INFO: Run TokenBuild Behavior [ RunTime:0.003170s ]
[ 2013-08-07T11:05:44+08:00 ] /2013-8/tpm/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002299s ]
[ 2013-08-07T11:05:44+08:00 ] /2013-8/tpm/ | INFO: Run ShowRuntime Behavior [ RunTime:0.004372s ]
[ 2013-08-07T11:05:44+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.014744s ]
[ 2013-08-07T11:05:44+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_end ] --START--
[ 2013-08-07T11:05:44+08:00 ] /2013-8/tpm/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.002697s ]
[ 2013-08-07T11:05:44+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.003324s ]
[ 2013-08-07T11:05:44+08:00 ] /2013-8/tpm/Public/js/TPM.js | ERR: (ThinkException) 无法加载模块Public
[ 2013-08-07T11:05:44+08:00 ] /2013-8/tpm/Public/js/jquery-1.9.1.min.js | ERR: (ThinkException) 无法加载模块Public
[ 2013-08-07T11:06:15+08:00 ] /2013-8/tpm/ | INFO: Tag[ app_begin ] --START--
[ 2013-08-07T11:06:15+08:00 ] /2013-8/tpm/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002641s ]
[ 2013-08-07T11:06:15+08:00 ] /2013-8/tpm/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003368s ]
[ 2013-08-07T11:06:15+08:00 ] /2013-8/tpm/ | INFO: Tag[ action_begin ] --START--
[ 2013-08-07T11:06:15+08:00 ] /2013-8/tpm/ | INFO: Run SwitchMobileTpl Behavior [ RunTime:0.002717s ]
[ 2013-08-07T11:06:15+08:00 ] /2013-8/tpm/ | INFO: Tag[ action_begin ] --END-- [ RunTime:0.003431s ]
[ 2013-08-07T11:06:15+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_template ] --START--
[ 2013-08-07T11:06:15+08:00 ] /2013-8/tpm/ | INFO: Run LocationTemplate Behavior [ RunTime:0.004215s ]
[ 2013-08-07T11:06:15+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.004919s ]
[ 2013-08-07T11:06:15+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_parse ] --START--
[ 2013-08-07T11:06:15+08:00 ] /2013-8/tpm/ | INFO: Run ParseTemplate Behavior [ RunTime:0.024434s ]
[ 2013-08-07T11:06:15+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.025157s ]
[ 2013-08-07T11:06:15+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_filter ] --START--
[ 2013-08-07T11:06:15+08:00 ] /2013-8/tpm/ | INFO: Run ContentReplace Behavior [ RunTime:0.002833s ]
[ 2013-08-07T11:06:15+08:00 ] /2013-8/tpm/ | INFO: Run TokenBuild Behavior [ RunTime:0.002497s ]
[ 2013-08-07T11:06:15+08:00 ] /2013-8/tpm/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001547s ]
[ 2013-08-07T11:06:15+08:00 ] /2013-8/tpm/ | INFO: Run ShowRuntime Behavior [ RunTime:0.003146s ]
[ 2013-08-07T11:06:15+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.012177s ]
[ 2013-08-07T11:06:15+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_end ] --START--
[ 2013-08-07T11:06:15+08:00 ] /2013-8/tpm/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.002543s ]
[ 2013-08-07T11:06:15+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.003231s ]
[ 2013-08-07T11:06:15+08:00 ] /2013-8/tpm/Public/js/TPM.js | ERR: (ThinkException) 无法加载模块Public
[ 2013-08-07T11:06:15+08:00 ] /2013-8/tpm/Public/js/jquery-1.9.1.min.js | ERR: (ThinkException) 无法加载模块Public
[ 2013-08-07T11:08:35+08:00 ] /2013-8/tpm/ | INFO: Tag[ app_begin ] --START--
[ 2013-08-07T11:08:35+08:00 ] /2013-8/tpm/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003187s ]
[ 2013-08-07T11:08:35+08:00 ] /2013-8/tpm/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003909s ]
[ 2013-08-07T11:08:35+08:00 ] /2013-8/tpm/ | INFO: Tag[ action_begin ] --START--
[ 2013-08-07T11:08:35+08:00 ] /2013-8/tpm/ | INFO: Run SwitchMobileTpl Behavior [ RunTime:0.002708s ]
[ 2013-08-07T11:08:35+08:00 ] /2013-8/tpm/ | INFO: Tag[ action_begin ] --END-- [ RunTime:0.003496s ]
[ 2013-08-07T11:08:35+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_template ] --START--
[ 2013-08-07T11:08:35+08:00 ] /2013-8/tpm/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002831s ]
[ 2013-08-07T11:08:35+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.003489s ]
[ 2013-08-07T11:08:35+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_parse ] --START--
[ 2013-08-07T11:08:35+08:00 ] /2013-8/tpm/ | INFO: Run ParseTemplate Behavior [ RunTime:0.023929s ]
[ 2013-08-07T11:08:35+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.024926s ]
[ 2013-08-07T11:08:35+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_filter ] --START--
[ 2013-08-07T11:08:35+08:00 ] /2013-8/tpm/ | INFO: Run ContentReplace Behavior [ RunTime:0.002192s ]
[ 2013-08-07T11:08:35+08:00 ] /2013-8/tpm/ | INFO: Run TokenBuild Behavior [ RunTime:0.002733s ]
[ 2013-08-07T11:08:35+08:00 ] /2013-8/tpm/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001590s ]
[ 2013-08-07T11:08:35+08:00 ] /2013-8/tpm/ | INFO: Run ShowRuntime Behavior [ RunTime:0.002927s ]
[ 2013-08-07T11:08:35+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.011286s ]
[ 2013-08-07T11:08:35+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_end ] --START--
[ 2013-08-07T11:08:35+08:00 ] /2013-8/tpm/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.002853s ]
[ 2013-08-07T11:08:35+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.003607s ]
[ 2013-08-07T11:08:35+08:00 ] /2013-8/tpm/Public/js/jquery-1.9.1.min.js | ERR: (ThinkException) 无法加载模块Public
[ 2013-08-07T11:08:35+08:00 ] /2013-8/tpm/Public/js/TPM.js | ERR: (ThinkException) 无法加载模块Public
[ 2013-08-07T11:09:04+08:00 ] /2013-8/tpm/ | INFO: Tag[ app_begin ] --START--
[ 2013-08-07T11:09:04+08:00 ] /2013-8/tpm/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001722s ]
[ 2013-08-07T11:09:04+08:00 ] /2013-8/tpm/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002437s ]
[ 2013-08-07T11:09:04+08:00 ] /2013-8/tpm/ | INFO: Tag[ action_begin ] --START--
[ 2013-08-07T11:09:04+08:00 ] /2013-8/tpm/ | INFO: Run SwitchMobileTpl Behavior [ RunTime:0.002845s ]
[ 2013-08-07T11:09:04+08:00 ] /2013-8/tpm/ | INFO: Tag[ action_begin ] --END-- [ RunTime:0.003564s ]
[ 2013-08-07T11:09:04+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_template ] --START--
